name,manufacturer,shelf,weight,cups,type,old_calories,old_protein,old_fat,old_sodium,old_fiber,old_carbohydrates,old_sugars,old_potassium,old_vitamins,rating,calories,protein,fat,sodium,fiber,carbohydrates,sugars,potassium,vitamins,fat_in_bowl,carb_in_bowl,protein_in_bowl,fat_fraction,carb_fraction,protein_fraction
100% Bran,Nabisco,3,1,0.33,cold,70,4,1,130,10,5,6,280,25,68.402973,2.470007057,0.14114326,0.035285815,4.587155963,0.352858151,0.176429076,0.211714891,9.880028229,0.882145378,3.03030303,15.15151515,12.12121212,0.022446689,0.606060606,0.114351058
100% Natural Bran,Quaker Oats,3,1,-1,cold,120,3,5,15,2,8,8,135,0,33.983679,4.237288136,0.105932203,0.176553672,0.529661017,0.070621469,0.282485876,0.282485876,4.766949153,0,-5.003531073,-8.005649718,-3.002118644,-0.037063193,-0.320225989,-0.028321874
All-Bran,Kelloggs,3,1,0.33,cold,70,4,1,260,9,7,5,320,25,59.425505,2.471751412,0.141242938,0.035310734,9.18079096,0.31779661,0.247175141,0.176553672,11.29943503,0.882768362,3.032443075,21.22710152,12.1297723,0.022462541,0.849084061,0.114431814
All-Bran with Extra Fiber,Kelloggs,3,1,0.5,cold,50,4,0,140,14,8,0,330,25,93.704912,1.765536723,0.141242938,0,4.943502825,0.494350282,0.282485876,0,11.65254237,0.882768362,0,16.01129944,8.005649718,0,0.640451977,0.075524997
Almond Delight,Ralston Purina,3,1,0.75,cold,110,2,2,200,1,14,8,-1,25,34.384843,3.884180791,0.070621469,0.070621469,7.062146893,0.035310734,0.494350282,0.282485876,-0.035310734,0.882768362,2.668549906,18.67984934,2.668549906,0.019767036,0.747193974,0.025174999
Apple Cinnamon Cheerios,General Mills,1,1,0.75,cold,110,2,2,180,1.5,10.5,10,70,25,29.509541,3.884180791,0.070621469,0.070621469,6.355932203,0.052966102,0.370762712,0.353107345,2.471751412,0.882768362,2.668549906,14.00988701,2.668549906,0.019767036,0.56039548,0.025174999
Apple Jacks,Kelloggs,2,1,1,cold,110,2,0,125,1,11,14,30,25,33.174094,3.884180791,0.070621469,0,4.413841808,0.035310734,0.388418079,0.494350282,1.059322034,0.882768362,0,11.00776836,2.001412429,0,0.440310734,0.018881249
Basic 4,General Mills,3,1.33,0.75,cold,130,3,2,210,2,18,8,100,25,37.038562,3.451425173,0.079648273,0.053098849,5.575379126,0.053098849,0.477889639,0.212395395,2.654942441,0.66373561,2.668549906,24.01694915,4.002824859,0.019767036,0.960677966,0.037762499
Bran Chex,Ralston Purina,1,1,0.67,cold,90,2,1,200,4,15,6,125,25,49.120253,3.177966102,0.070621469,0.035310734,7.062146893,0.141242938,0.529661017,0.211864407,4.413841808,0.882768362,1.493591365,22.40387048,2.98718273,0.01106364,0.896154819,0.028180969
Bran Flakes,Post,3,1,0.67,cold,90,3,0,210,5,13,5,190,25,53.313813,3.177966102,0.105932203,0,7.415254237,0.176553672,0.459039548,0.176553672,6.709039548,0.882768362,0,19.41668775,4.480774096,0,0.77666751,0.042271454
Cap'n'Crunch,Quaker Oats,2,1,0.75,cold,120,1,2,220,0,12,12,35,25,18.042851,4.237288136,0.035310734,0.070621469,7.768361582,0,0.423728814,0.423728814,1.235875706,0.882768362,2.668549906,16.01129944,1.334274953,0.019767036,0.640451977,0.0125875
Cheerios,General Mills,1,1,1.25,cold,110,6,2,290,2,17,1,105,25,50.764999,3.884180791,0.211864407,0.070621469,10.24011299,0.070621469,0.600282486,0.035310734,3.707627119,0.882768362,1.601129944,13.60960452,4.803389831,0.011860222,0.544384181,0.045314998
Cinnamon Toast Crunch,General Mills,2,1,0.75,cold,120,1,3,210,0,13,9,45,25,19.823573,4.237288136,0.035310734,0.105932203,7.415254237,0,0.459039548,0.31779661,1.588983051,0.882768362,4.002824859,17.34557439,1.334274953,0.029650555,0.693822976,0.0125875
Clusters,General Mills,3,1,0.5,cold,110,3,2,140,2,13,7,105,25,40.400208,3.884180791,0.105932203,0.070621469,4.943502825,0.070621469,0.459039548,0.247175141,3.707627119,0.882768362,4.002824859,26.01836158,6.004237288,0.029650555,1.040734463,0.056643748
Cocoa Puffs,General Mills,2,1,1,cold,110,1,1,180,0,12,13,55,25,22.736446,3.884180791,0.035310734,0.035310734,6.355932203,0,0.423728814,0.459039548,1.942090395,0.882768362,1.000706215,12.00847458,1.000706215,0.007412639,0.480338983,0.009440625
Corn Chex,Ralston Purina,1,1,1,cold,110,2,0,280,0,22,3,25,25,41.445019,3.884180791,0.070621469,0,9.88700565,0,0.776836158,0.105932203,0.882768362,0.882768362,0,22.01553672,2.001412429,0,0.880621469,0.018881249
Corn Flakes,Kelloggs,1,1,1,cold,100,2,0,290,1,21,2,35,25,45.863324,3.531073446,0.070621469,0,10.24011299,0.035310734,0.741525424,0.070621469,1.235875706,0.882768362,0,21.01483051,2.001412429,0,0.84059322,0.018881249
Corn Pops,Kelloggs,2,1,1,cold,110,1,0,90,1,13,12,20,25,35.782791,3.884180791,0.035310734,0,3.177966102,0.035310734,0.459039548,0.423728814,0.706214689,0.882768362,0,13.00918079,1.000706215,0,0.520367232,0.009440625
Count Chocula,General Mills,2,1,1,cold,110,1,1,180,0,12,13,65,25,22.396513,3.884180791,0.035310734,0.035310734,6.355932203,0,0.423728814,0.459039548,2.29519774,0.882768362,1.000706215,12.00847458,1.000706215,0.007412639,0.480338983,0.009440625
Cracklin' Oat Bran,Kelloggs,3,1,0.5,cold,110,3,3,140,4,10,7,160,25,40.448772,3.884180791,0.105932203,0.105932203,4.943502825,0.141242938,0.353107345,0.247175141,5.649717514,0.882768362,6.004237288,20.01412429,6.004237288,0.044475832,0.800564972,0.056643748
Cream of Wheat (Quick),Nabisco,2,1,1,hot,100,3,0,80,1,21,0,-1,0,64.533816,3.531073446,0.105932203,0,2.824858757,0.035310734,0.741525424,0,-0.035310734,0,0,21.01483051,3.002118644,0,0.84059322,0.028321874
Crispix,Kelloggs,3,1,1,cold,110,2,0,220,1,21,3,30,25,46.895644,3.884180791,0.070621469,0,7.768361582,0.035310734,0.741525424,0.105932203,1.059322034,0.882768362,0,21.01483051,2.001412429,0,0.84059322,0.018881249
Crispy Wheat & Raisins,General Mills,3,1,0.75,cold,100,2,1,140,2,11,10,120,25,36.176196,3.531073446,0.070621469,0.035310734,4.943502825,0.070621469,0.388418079,0.353107345,4.237288136,0.882768362,1.334274953,14.67702448,2.668549906,0.009883518,0.587080979,0.025174999
Double Chex,Ralston Purina,3,1,0.75,cold,100,2,0,190,1,18,5,80,25,44.330856,3.531073446,0.070621469,0,6.709039548,0.035310734,0.63559322,0.176553672,2.824858757,0.882768362,0,24.01694915,2.668549906,0,0.960677966,0.025174999
Froot Loops,Kelloggs,2,1,1,cold,110,2,1,125,1,11,13,30,25,32.207582,3.884180791,0.070621469,0.035310734,4.413841808,0.035310734,0.388418079,0.459039548,1.059322034,0.882768362,1.000706215,11.00776836,2.001412429,0.007412639,0.440310734,0.018881249
Frosted Flakes,Kelloggs,1,1,0.75,cold,110,1,0,200,1,14,11,25,25,31.435973,3.884180791,0.035310734,0,7.062146893,0.035310734,0.494350282,0.388418079,0.882768362,0.882768362,0,18.67984934,1.334274953,0,0.747193974,0.0125875
Frosted Mini-Wheats,Kelloggs,2,1,0.8,cold,100,3,0,0,3,14,7,100,25,58.345141,3.531073446,0.105932203,0,0,0.105932203,0.494350282,0.247175141,3.531073446,0.882768362,0,17.51235876,3.752648305,0,0.70049435,0.035402343
"Fruit & Fibre Dates, Walnuts, and Oats",Post,3,1.25,0.67,cold,120,3,2,160,5,12,10,200,25,40.917047,3.389830508,0.084745763,0.056497175,4.519774011,0.141242938,0.338983051,0.282485876,5.649717514,0.706214689,2.98718273,17.92309638,4.480774096,0.022127279,0.716923855,0.042271454
Fruitful Bran,Kelloggs,3,1.33,0.67,cold,120,3,0,240,5,14,12,190,25,41.015492,3.185930929,0.079648273,0,6.371861858,0.132747122,0.371691942,0.318593093,5.044390638,0.66373561,0,20.91027911,4.480774096,0,0.836411165,0.042271454
Fruity Pebbles,Post,2,1,0.75,cold,110,1,1,135,0,13,12,25,25,28.025765,3.884180791,0.035310734,0.035310734,4.766949153,0,0.459039548,0.423728814,0.882768362,0.882768362,1.334274953,17.34557439,1.334274953,0.009883518,0.693822976,0.0125875
Golden Crisp,Post,1,1,0.88,cold,100,2,0,45,0,11,15,40,25,35.252444,3.531073446,0.070621469,0,1.588983051,0,0.388418079,0.529661017,1.412429379,0.882768362,0,12.50882768,2.274332306,0,0.500353107,0.021455965
Golden Grahams,General Mills,2,1,0.75,cold,110,1,1,280,0,15,9,45,25,23.804043,3.884180791,0.035310734,0.035310734,9.88700565,0,0.529661017,0.31779661,1.588983051,0.882768362,1.334274953,20.01412429,1.334274953,0.009883518,0.800564972,0.0125875
Grape Nuts Flakes,Post,3,1,0.88,cold,100,3,1,140,3,15,5,85,25,52.076897,3.531073446,0.105932203,0.035310734,4.943502825,0.105932203,0.529661017,0.176553672,3.001412429,0.882768362,1.137166153,17.0574923,3.411498459,0.008423453,0.682299692,0.032183948
Grape-Nuts,Post,3,1,0.25,cold,110,3,0,170,3,17,3,90,25,53.371007,3.884180791,0.105932203,0,6.002824859,0.105932203,0.600282486,0.105932203,3.177966102,0.882768362,0,68.0480226,12.00847458,0,2.721920904,0.113287496
Great Grains Pecan,Post,3,1,0.33,cold,120,3,3,75,3,13,4,100,25,45.811716,4.237288136,0.105932203,0.105932203,2.648305085,0.105932203,0.459039548,0.141242938,3.531073446,0.882768362,9.097329224,39.42175997,9.097329224,0.067387624,1.576870399,0.085823861
Honey Graham Ohs,Quaker Oats,2,1,1,cold,120,1,2,220,1,12,11,45,25,21.871292,4.237288136,0.035310734,0.070621469,7.768361582,0.035310734,0.423728814,0.388418079,1.588983051,0.882768362,2.001412429,12.00847458,1.000706215,0.014825277,0.480338983,0.009440625
Honey Nut Cheerios,General Mills,1,1,0.75,cold,110,3,1,250,1.5,11.5,10,90,25,31.072217,3.884180791,0.105932203,0.035310734,8.827683616,0.052966102,0.406073446,0.353107345,3.177966102,0.882768362,1.334274953,15.34416196,4.002824859,0.009883518,0.613766478,0.037762499
Honey-comb,Post,1,1,1.33,cold,110,1,0,180,0,14,11,35,25,28.742414,3.884180791,0.035310734,0,6.355932203,0,0.494350282,0.388418079,1.235875706,0.882768362,0,10.53374963,0.752410688,0,0.421349985,0.007098214
"Just Right Crunchy, Nuggets",Kelloggs,3,1,-1,cold,110,2,1,170,1,17,6,60,100,36.523683,3.884180791,0.070621469,0.035310734,6.002824859,0.035310734,0.600282486,0.211864407,2.118644068,3.531073446,-1.000706215,-17.01200565,-2.001412429,-0.007412639,-0.680480226,-0.018881249
Just Right Fruit & Nut,Kelloggs,3,1.3,0.75,cold,140,3,1,170,2,20,9,95,100,36.471512,3.802694481,0.08148631,0.027162103,4.617557584,0.054324207,0.543242069,0.244458931,2.580399826,2.716210343,1.334274953,26.68549906,4.002824859,0.009883518,1.067419962,0.037762499
Kix,General Mills,2,1,1.5,cold,110,2,1,260,0,21,3,40,25,39.241114,3.884180791,0.070621469,0.035310734,9.18079096,0,0.741525424,0.105932203,1.412429379,0.882768362,0.667137476,14.00988701,1.334274953,0.004941759,0.56039548,0.0125875
Life,Quaker Oats,2,1,0.67,cold,100,4,2,150,2,12,6,95,25,45.328074,3.531073446,0.141242938,0.070621469,5.296610169,0.070621469,0.423728814,0.211864407,3.354519774,0.882768362,2.98718273,17.92309638,5.974365461,0.022127279,0.716923855,0.056361938
Lucky Charms,General Mills,2,1,1,cold,110,2,1,180,0,12,12,55,25,26.734515,3.884180791,0.070621469,0.035310734,6.355932203,0,0.423728814,0.423728814,1.942090395,0.882768362,1.000706215,12.00847458,2.001412429,0.007412639,0.480338983,0.018881249
Maypo,American Home Food Products,2,1,-1,hot,100,4,1,0,0,16,3,95,25,54.850917,3.531073446,0.141242938,0.035310734,0,0,0.564971751,0.105932203,3.354519774,0.882768362,-1.000706215,-16.01129944,-4.002824859,-0.007412639,-0.640451977,-0.037762499
"Muesli Raisins, Dates, & Almonds",Ralston Purina,3,-1,-1,cold,150,4,3,95,3,16,11,170,25,37.136863,-5.296610169,-0.141242938,-0.105932203,-3.354519774,-0.105932203,-0.564971751,-0.388418079,-6.002824859,-0.882768362,-3.002118644,-16.01129944,-4.002824859,-0.022237916,-0.640451977,-0.037762499
"Muesli Raisins, Peaches, & Pecans",Ralston Purina,3,-1,-1,cold,150,4,3,150,3,16,11,170,25,34.139765,-5.296610169,-0.141242938,-0.105932203,-5.296610169,-0.105932203,-0.564971751,-0.388418079,-6.002824859,-0.882768362,-3.002118644,-16.01129944,-4.002824859,-0.022237916,-0.640451977,-0.037762499
Mueslix Crispy Blend,Kelloggs,3,1.5,0.67,cold,160,3,2,150,3,17,13,160,25,30.313351,3.766478343,0.070621469,0.047080979,3.531073446,0.070621469,0.400188324,0.306026365,3.766478343,0.588512241,2.98718273,25.39105321,4.480774096,0.022127279,1.015642128,0.042271454
Multi-Grain Cheerios,General Mills,1,1,1,cold,100,2,1,220,2,15,6,90,25,40.105965,3.531073446,0.070621469,0.035310734,7.768361582,0.070621469,0.529661017,0.211864407,3.177966102,0.882768362,1.000706215,15.01059322,2.001412429,0.007412639,0.600423729,0.018881249
Nut&Honey Crunch,Kelloggs,2,1,0.67,cold,120,2,1,190,0,15,9,40,25,29.924285,4.237288136,0.070621469,0.035310734,6.709039548,0,0.529661017,0.31779661,1.412429379,0.882768362,1.493591365,22.40387048,2.98718273,0.01106364,0.896154819,0.028180969
Nutri-Grain Almond-Raisin,Kelloggs,3,1.33,0.67,cold,140,3,2,220,3,21,7,130,25,40.69232,3.716919417,0.079648273,0.053098849,5.84087337,0.079648273,0.557537913,0.185845971,3.451425173,0.66373561,2.98718273,31.36541867,4.480774096,0.022127279,1.254616747,0.042271454
Nutri-grain Wheat,Kelloggs,3,1,-1,cold,90,3,0,170,3,18,2,90,25,59.642837,3.177966102,0.105932203,0,6.002824859,0.105932203,0.63559322,0.070621469,3.177966102,0.882768362,0,-18.01271186,-3.002118644,0,-0.720508475,-0.028321874
Oatmeal Raisin Crisp,General Mills,3,1.25,0.5,cold,130,3,2,170,1.5,13.5,10,120,25,30.450843,3.672316384,0.084745763,0.056497175,4.802259887,0.042372881,0.381355932,0.282485876,3.389830508,0.706214689,4.002824859,27.0190678,6.004237288,0.029650555,1.080762712,0.056643748
Post Nat. Raisin Bran,Post,3,1.33,0.67,cold,120,3,1,200,6,11,14,260,25,37.840594,3.185930929,0.079648273,0.026549424,5.309884882,0.159296546,0.292043668,0.371691942,6.902850346,0.66373561,1.493591365,16.42950502,4.480774096,0.01106364,0.657180201,0.042271454
Product 19,Kelloggs,3,1,1,cold,100,3,0,320,1,20,3,45,100,41.50354,3.531073446,0.105932203,0,11.29943503,0.035310734,0.706214689,0.105932203,1.588983051,3.531073446,0,20.01412429,3.002118644,0,0.800564972,0.028321874
Puffed Rice,Quaker Oats,3,0.5,1,cold,50,1,0,0,0,13,0,15,0,60.756112,3.531073446,0.070621469,0,0,0,0.918079096,0,1.059322034,0,0,13.00918079,1.000706215,0,0.520367232,0.009440625
Puffed Wheat,Quaker Oats,3,0.5,-1,cold,50,2,0,0,1,10,0,50,0,63.005645,3.531073446,0.141242938,0,0,0.070621469,0.706214689,0,3.531073446,0,0,-10.00706215,-2.001412429,0,-0.400282486,-0.018881249
Quaker Oat Squares,Quaker Oats,3,1,0.5,cold,100,4,1,135,2,14,6,110,25,49.511874,3.531073446,0.141242938,0.035310734,4.766949153,0.070621469,0.494350282,0.211864407,3.884180791,0.882768362,2.001412429,28.01977401,8.005649718,0.014825277,1.12079096,0.075524997
Quaker Oatmeal,Quaker Oats,1,1,0.67,hot,100,5,2,0,2.7,-1,-1,110,0,50.828392,3.531073446,0.176553672,0.070621469,0,0.095338983,-0.035310734,-0.035310734,3.884180791,0,2.98718273,-1.493591365,7.467956826,0.022127279,-0.059743655,0.070452423
Raisin Bran,Kelloggs,2,1.33,0.75,cold,120,3,1,210,5,14,12,240,25,39.259197,3.185930929,0.079648273,0.026549424,5.575379126,0.132747122,0.371691942,0.318593093,6.371861858,0.66373561,1.334274953,18.67984934,4.002824859,0.009883518,0.747193974,0.037762499
Raisin Nut Bran,General Mills,3,1,0.5,cold,100,3,2,140,2.5,10.5,8,140,25,39.7034,3.531073446,0.105932203,0.070621469,4.943502825,0.088276836,0.370762712,0.282485876,4.943502825,0.882768362,4.002824859,21.01483051,6.004237288,0.029650555,0.84059322,0.056643748
Raisin Squares,Kelloggs,3,1,0.5,cold,90,2,0,0,2,15,6,110,25,55.333142,3.177966102,0.070621469,0,0,0.070621469,0.529661017,0.211864407,3.884180791,0.882768362,0,30.02118644,4.002824859,0,1.200847458,0.037762499
Rice Chex,Ralston Purina,1,1,1.13,cold,110,1,0,240,0,23,2,30,25,41.998933,3.884180791,0.035310734,0,8.474576271,0,0.812146893,0.070621469,1.059322034,0.882768362,0,20.36835658,0.885580721,0,0.814734263,0.008354535
Rice Krispies,Kelloggs,1,1,1,cold,110,2,0,290,0,22,3,35,25,40.560159,3.884180791,0.070621469,0,10.24011299,0,0.776836158,0.105932203,1.235875706,0.882768362,0,22.01553672,2.001412429,0,0.880621469,0.018881249
Shredded Wheat,Nabisco,1,0.83,-1,cold,80,2,0,0,3,16,0,95,0,68.235885,3.403444286,0.085086107,0,0,0.127629161,0.680688857,0,4.041590089,0,0,-16.01129944,-2.001412429,0,-0.640451977,-0.018881249
Shredded Wheat spoon size,Nabisco,1,1,0.67,cold,90,3,0,0,3,20,0,120,0,74.472949,3.177966102,0.105932203,0,0,0.105932203,0.706214689,0,4.237288136,0,0,29.8718273,4.480774096,0,1.194873092,0.042271454
"Shredded Wheat, n Bran",Nabisco,1,1,0.67,cold,90,3,0,0,4,19,0,140,0,72.801787,3.177966102,0.105932203,0,0,0.141242938,0.670903955,0,4.943502825,0,0,28.37823594,4.480774096,0,1.135129438,0.042271454
Smacks,Kelloggs,2,1,0.75,cold,110,2,1,70,1,9,15,40,25,31.230054,3.884180791,0.070621469,0.035310734,2.471751412,0.035310734,0.31779661,0.529661017,1.412429379,0.882768362,1.334274953,12.00847458,2.668549906,0.009883518,0.480338983,0.025174999
Special K,Kelloggs,1,1,1,cold,110,6,0,230,1,16,3,55,25,53.131324,3.884180791,0.211864407,0,8.121468927,0.035310734,0.564971751,0.105932203,1.942090395,0.882768362,0,16.01129944,6.004237288,0,0.640451977,0.056643748
Strawberry Fruit Wheats,Nabisco,2,1,-1,cold,90,2,0,15,3,15,5,90,25,59.363993,3.177966102,0.070621469,0,0.529661017,0.105932203,0.529661017,0.176553672,3.177966102,0.882768362,0,-15.01059322,-2.001412429,0,-0.600423729,-0.018881249
Total Corn Flakes,General Mills,3,1,1,cold,110,2,1,200,0,21,3,35,100,38.839746,3.884180791,0.070621469,0.035310734,7.062146893,0,0.741525424,0.105932203,1.235875706,3.531073446,1.000706215,21.01483051,2.001412429,0.007412639,0.84059322,0.018881249
Total Raisin Bran,General Mills,3,1.5,1,cold,140,3,1,190,4,15,14,230,100,28.592785,3.29566855,0.070621469,0.02354049,4.472693032,0.094161959,0.353107345,0.329566855,5.414312618,2.354048964,1.000706215,15.01059322,3.002118644,0.007412639,0.600423729,0.028321874
Total Whole Grain,General Mills,3,1,1,cold,100,3,1,200,3,16,3,110,100,46.658844,3.531073446,0.105932203,0.035310734,7.062146893,0.105932203,0.564971751,0.105932203,3.884180791,3.531073446,1.000706215,16.01129944,3.002118644,0.007412639,0.640451977,0.028321874
Triples,General Mills,3,1,0.75,cold,110,2,1,250,0,21,3,60,25,39.106174,3.884180791,0.070621469,0.035310734,8.827683616,0,0.741525424,0.105932203,2.118644068,0.882768362,1.334274953,28.01977401,2.668549906,0.009883518,1.12079096,0.025174999
Trix,General Mills,2,1,1,cold,110,1,1,140,0,13,12,25,25,27.753301,3.884180791,0.035310734,0.035310734,4.943502825,0,0.459039548,0.423728814,0.882768362,0.882768362,1.000706215,13.00918079,1.000706215,0.007412639,0.520367232,0.009440625
Wheat Chex,Ralston Purina,1,1,0.67,cold,100,3,1,230,3,17,3,115,25,49.787445,3.531073446,0.105932203,0.035310734,8.121468927,0.105932203,0.600282486,0.105932203,4.060734463,0.882768362,1.493591365,25.39105321,4.480774096,0.01106364,1.015642128,0.042271454
Wheaties,General Mills,1,1,1,cold,100,3,1,200,3,17,3,110,25,51.592193,3.531073446,0.105932203,0.035310734,7.062146893,0.105932203,0.600282486,0.105932203,3.884180791,0.882768362,1.000706215,17.01200565,3.002118644,0.007412639,0.680480226,0.028321874
Wheaties Honey Gold,General Mills,1,1,0.75,cold,110,2,1,200,1,16,8,60,25,36.187559,3.884180791,0.070621469,0.035310734,7.062146893,0.035310734,0.564971751,0.282485876,2.118644068,0.882768362,1.334274953,21.34839925,2.668549906,0.009883518,0.85393597,0.025174999