area,treesearch,search1,search2
0,0.715,26.22,22.26
7654,0.62,28.705,25.48
7830,1.12,24.575,20.74
8099,0.455,23.625,22.045
8372,0.655,22.66,20.96
8464,1.055,24.915,21.455
0,0.715,26.22,22.26
7654,0.62,28.705,25.48
7830,1.12,24.575,20.74
8099,0.455,23.625,22.045
8372,0.655,22.66,20.96
8464,1.055,24.915,21.455
0,0.615,27.04,27.45
4661,0.43,23.255,24.065
10440,0.46,23.62,23.37
12901,0.465,24.53,23.42
14382,0.255,24.175,24.67
20640,0.615,22.415,23.265
32700,2.46,24.555,23.46
46440,7.005,25.905,23.8
57772,8.595,23.535,21.34
62160,3.81,25.26,21.245
67452,4.63,22.38,19.68
70336,6.15,23.155,19.75
72640,5.505,22.735,19.89
76657,6.76,23.29,18.87
0,0.045,12.91,12.52
792,0.075,14.485,14.555
11985,0.81,15.225,18.46
12155,0.84,15.165,15.745
15385,1.235,16.49,16.06
21335,1.685,17.77,16.305
30527,3.56,18.875,17.38
33672,2.795,18.745,16.775
35814,4.02,18.28,16.96
0,0.135,17.19,17.9
5180,0.17,19.91,18.02
5472,0.195,18.205,18.99
6000,0.215,19.375,17.65
6720,0.26,18.195,17.205
6885,0.29,17.95,17.3
7565,0.3,18.975,18.305
7743,0.26,18.385,18.36
7830,0.26,17.435,20.05
8008,0.335,18.19,20.255
8096,0.305,17.98,20.405
8184,0.42,18.79,18.175
0,0.045,23.885,24.16
4816,1.03,25.03,25.13
0,0.06,12.865,14.285
520,0.225,15.16,13.455
0,0.04,12.61,13.1
0,0.24,13.92,13.405
294,0.07,13.455,13.17
0,0.05,21.72,22.88
348,0.135,22.905,23.77
2317.99942,0.555,21.805,19.58
0,0.05,24.01,22.48
26702,1.865,22.775,22.005
30940,2.82,24.295,19.865
31450,2.69,23.495,22.65
41724,4.65,23.305,20.265
83894.99455,28.88,24.45,14.77
119386.9934,44.92,23.61,9.57
0,0.39,17.465,19.115
297,0.435,17.355,14.77
935,0.765,15.67,14.22
0,0.08,18.305,18.745
4,0.095,17.685,19.055
5544,3.27,18.32,16.125
0,0.61,16.03,16.55
20748,1.905,18.33,18.275
35796,4.46,19.26,17.775
74202,7.51,22.505,19.23
83248,11.515,23.955,20.75
88880,12.37,24.275,20.89
94320,12.905,24.395,19.745
98644,14.69,24.075,20.885
105984,14.67,26.765,18.815
141449.9912,37.14,25.39,15.415
154979.9912,54.55,24.12,19.34
167140.9915,79.13,24.19,7.115
167861.9915,75.09,23.53,6.695
153251.9921,68.865,25.31,7.405
148974.9923,66.135,24.35,7.73
148089.9923,68.555,24.845,7.845
149595.9923,65.17,23.37,7.525
140346.9927,56.785,22.355,8.14
106585.9941,39.365,21.505,11.115
91454.99489,36.05,22.31,11.435
77267.9957,28.76,19.81,10.975
66095.99629,26.485,20.005,12.355
66095.99629,33.53,26.36,16.41
66095.99629,31.085,27.185,17.48
66095.99629,30.825,26.625,17.725
66095.99629,28.38,33.315,16.325
0,0.175,21.665,25.065
360,0.055,21.64,22.76
360,0.605,23.405,23.805
360,0.155,23.855,22.905
360,0.13,22.605,21.74
360,0.19,22.265,21.855
360,0.1,23.255,24.585
360,0.11,20.615,21.7
360,0.085,22.31,21.19
360,0.095,22.61,22.21
360,0.17,26.595,22.71
360,0.095,23.655,22.4
360,0.275,22.335,23.335
360,0.185,22.265,24.945
360,0.11,23.255,23.195
360,0.125,22.64,23.515
360,0.11,21.745,22.095
360,0.13,33.305,29.475
360,0.415,23.8,23.685
360,0.825,23.03,22.975
360,0.4,21.295,23.22
360,0.5,22.26,22.33
360,0.225,22.79,23.61
360,0.1,22.725,23.18
360,0.075,22.775,21.85
360,0.12,23.625,23.015
360,0.115,22.05,22.675
360,0.08,24.025,22.405
360,0.1,21.405,21.96
360,0.08,22.32,22.385
360,0.09,22.135,22.69
360,0.15,23.335,22.905
360,0.125,23.055,22.605
360,0.1,22.14,23.385
360,0.115,21.33,21.3
360,0.085,22.265,23.035
360,0.175,21.605,21.725
360,0.165,21.34,21.53
360,0.15,22.125,21.185
360,0.22,21.17,21.22
360,0.155,21.66,21.485
360,0.155,23.155,22.01
360,0.125,20.155,21.3
360,0.16,20.96,19.81
360,0.155,21.665,21.375
360,0.145,19.58,19.585
360,0.27,19.66,20.245
360,0.155,19.7,19.465
360,0.31,23.91,18.015
360,0.28,18.18,18.875
360,0.28,18.36,18.79
360,0.38,17.975,22.28
360,0.295,17.61,17.05
360,0.29,17.51,17.685
360,0.295,17.77,17.73
360,0.275,17.98,17.26
360,0.245,17.245,17.97
360,0.215,16.98,17.08
360,0.205,17.065,17.165
360,0.31,16.995,16.15
360,0.275,16.325,16.42
360,0.355,16.2,16.29
360,0.31,16.31,16.025
360,0.615,16.35,15.86
360,0.255,16.58,16.435
360,0.245,15.535,16.195
360,0.485,15.675,17.18
360,0.22,15.405,15.93
360,0.24,15.825,16.285
360,0.235,16.31,15.565
360,0.295,17.045,16.23
360,0.195,16.24,17.815
360,0.285,17.39,21.28
360,0.295,18.45,19.615
360,0.31,17.025,17.15
360,0.16,17.62,15.54
360,0.185,17.235,16.185
360,0.17,17.1,16.005
360,0.16,17.58,19.405
360,0.535,16.7,16.325
360,0.15,16.155,16.03
360,0.195,15.635,16.29
360,0.255,16.325,16.385
360,0.33,15.67,15.48
360,0.355,16.795,15.34
360,0.2,14.98,15.265
360,0.31,16.775,16.08
360,0.21,15.645,16.16
360,0.2,17.015,15.32
0,0.04,13.595,14.125
0,0.065,16.23,19.14
1258,0.08,15.69,14.145
1295,0.11,16.575,14.61
1365,0.055,14.755,14.725
1512,0.065,15.03,14.525
1634,0.1,15.525,14.565
2205,0.075,14.81,14.295
3248,0.115,15.575,16.28
4940,0.21,18.56,19.505
5440,0.27,20.205,24.395
6264,0.74,23.93,22.055
6480,0.68,15.63,15.095
6390,0.255,16.075,15.11
6390,0.215,15.235,14.17
6390,0.19,15.06,14.435
9919,0.465,14.345,14.43
9919,0.305,16.095,18.125
9919,0.31,14.585,15.07
9919,0.61,15.06,15.085
9919,0.71,15.55,15.055
9919,1.145,27.56,27.41
9919,0.73,15.275,15
9919,0.905,16.385,14.905
9919,1.04,14.785,15.355
9919,1.205,14.915,15.405
9919,1.055,15.695,14.965
9919,1.42,15.405,20.145
9919,1.03,14.155,14.515
9919,1.535,14.035,14.1
9919,1.4,14.97,14.795
9919,1.07,14.81,16.47
9919,1.11,14.12,14.98
9919,1.425,15.345,14.225
9919,1.51,14.69,15.12
9919,2.47,15.865,14.16
9919,1.865,14.735,15.22
9919,2.45,14.46,13.145
9919,1.945,14.415,12.9
9919,2.035,14.64,14.065
9919,1.955,14.225,13.645
9919,2.435,14.73,14.005
9919,2.525,16.14,14.13
9919,3.56,14.02,13.12
9919,2.53,14.435,14.015
9919,2.98,14.35,12.925
9919,2.895,13.685,13.47
9919,4.085,14.185,12.585
9919,3,13.66,12.385
9919,4.075,15.075,12.735
9919,2.92,14.115,13.835
9919,4.325,16.55,14.965
9919,4.395,16.14,13.575
9919,4.52,17.705,15.045
9919,4.365,16.98,13.395
9919,7.815,25.605,16.035
9919,5.465,16.905,13.675
9919,4.98,17.57,13.68
9919,4.405,17.925,13.07
9919,4.905,19.24,13.47
9919,4.135,18.72,13.905
9919,4.305,18.97,14.965
9919,2.87,20.66,16.54
9919,2.865,19.805,16.38
9919,3.3,20.06,16.63
9919,3.18,20.54,17.82
9919,1.91,20.765,18.21
9919,1.585,21.365,18.905
9919,1.72,22.395,19.06
9919,1.275,22.73,19.455
9919,1.675,20.825,19.58
9919,1.125,20.64,20.12
9919,0.975,21.77,20.785
9919,0.505,22.885,20.305
9919,0.2,24.955,22.62
9919,0.205,22.165,23.635
18204,0.55,23.17,23.905
19895,0.765,23.25,21.9
23560,0.945,24.065,22.75
27470,1.935,23.68,24.71
31098,2.285,23.93,21.335
37523,2.62,22.57,20.645
39123,2.665,22.12,20.515
45500,4.785,22.815,19.945
49496,4.55,21.97,18.885
52250,5.135,22.215,17.835
54795,5.43,21.925,17.395
55185,6.425,22.125,17.29
55185,7.845,22.225,19.875
55185,8.855,22.905,18.995
55185,6.995,23.165,18.83
55185,6.105,25.345,17.765
55185,8.345,24.25,19.61
55185,11.61,24.995,18.58
55185,11.265,23.055,17.54
55185,11.13,22.275,18.015
55185,10.89,23.03,16.505
55185,15.09,21.625,15.93
55185,11.51,22.415,15.375
55185,11.215,22.975,15.435
55185,12.7,21.39,16.09
55185,13.95,21.875,14.31
55185,16.725,24.315,14.595
55185,16.595,23.31,14.82
55185,22.375,20.7,13
55185,25.115,21.49,12.505
55185,25.925,20.74,12.205
55185,23.875,20.49,10.905
55185,23.82,20.44,9.96
55185,30.24,22.445,10.955
55185,27.99,20.29,8.445
55185,28.995,20.33,8.365
55185,27.65,21.2,9.68
57915,38.825,24.57,10.165
70497,39.035,22.025,9.725
83300,35.91,22.11,11.225
90125,39.07,21.735,11.22
92750,39.475,23.59,11.65
99000,42.13,21.535,10.025
109080,47.2,21.175,10.295
122111,55.915,21.42,9.92
125307,60.54,20.8,8.73
125307,52.5,22.19,9.525
125307,55.005,25.77,11.495
125307,56.215,22.03,10.235
125307,36.975,23.855,14.14
125307,39.19,23.285,14.845
125307,30.055,23.73,14.795
125307,33.935,24.085,14.86
0,0.045,23.515,24.3